,learner_id,gender,age,region,classes_attended,total_classes,exam_score,completion_status,career_path,country
0,L2001,Female,19,Maseru,26,40,52.7,Completed,Further Studies,les
1,L2002,Female,25,Berea,36,40,66.8,Not Completed,Seeking Employment,les
2,L2003,Male,27,Maseru,16,40,88.2,Completed,Seeking Employment,les
3,L2004,Female,31,Maseru,24,40,67.4,Not Completed,Seeking Employment,les
4,L2005,Female,26,Quthing,18,40,63.4,Completed,Further Studies,les
5,L2006,Male,19,Mafeteng,24,40,97.5,Completed,Self-Employed,les
6,L2007,Male,21,Maseru,35,40,81.9,Not Completed,Seeking Employment,les
7,L2008,Female,27,Mafeteng,21,40,67.7804469273743,Completed,Seeking Employment,les
8,L2009,Female,18,Berea,19,40,89.7,Completed,Self-Employed,les
9,L2010,Female,27,Mokhotlong,23,40,83.7,Not Completed,Self-Employed,les
10,L2011,Female,31,Mafeteng,19,40,54.4,Completed,Seeking Employment,les
11,L2012,Male,30,Quthing,38,40,67.7804469273743,Completed,Entrepreneurship,les
12,L2013,Female,28,Leribe,28,40,69.4,Not Completed,Further Studies,les
13,L2014,Male,20,Mafeteng,24,40,69.7,Completed,Further Studies,les
14,L2015,Female,22,Qacha's Nek,30,40,50.8,Not Completed,Further Studies,les
15,L2016,Female,26,Mohale's Hoek,24,40,31.9,Completed,Seeking Employment,les
16,L2017,Male,25,Mohale's Hoek,17,40,82.2,Completed,Self-Employed,les
17,L2018,Female,31,Maseru,18,40,64.1,Completed,Self-Employed,les
18,L2019,Female,30,Mohale's Hoek,25,40,41.1,Not Completed,Entrepreneurship,les
19,L2020,Female,24,Butha-Buthe,40,40,84.6,Completed,Further Studies,les
20,L2021,Female,20,Mafeteng,34,40,60.7,Not Completed,Entrepreneurship,les
21,L2022,Male,19,Butha-Buthe,29,40,56.5,Completed,Seeking Employment,les
22,L2023,Female,26,Thaba-Tseka,34,40,61.0,Not Completed,Seeking Employment,les
23,L2024,Male,23,Leribe,19,40,73.2,Not Completed,Further Studies,les
24,L2025,Female,24,Leribe,20,40,48.1,Not Completed,Further Studies,les
25,L2026,Female,21,Leribe,38,40,69.9,Completed,Seeking Employment,les
26,L2027,Female,32,Mafeteng,32,40,79.2,Completed,Seeking Employment,les
27,L2028,Female,27,Qacha's Nek,21,40,95.9,Completed,Entrepreneurship,les
28,L2029,Male,26,Quthing,25,40,79.7,Not Completed,Self-Employed,les
29,L2030,Female,33,Thaba-Tseka,40,40,51.1,Not Completed,Further Studies,les
30,L2031,Male,34,Mokhotlong,40,40,89.8,Not Completed,Self-Employed,les
31,L2032,Male,26,Mokhotlong,35,40,42.7,Completed,Self-Employed,les
32,L2033,Female,22,Butha-Buthe,33,40,63.4,Not Completed,Seeking Employment,les
33,L2034,Female,19,Quthing,23,40,58.6,Completed,Seeking Employment,les
34,L2035,Female,19,Mohale's Hoek,17,40,72.2,Completed,Self-Employed,les
35,L2036,Male,24,Butha-Buthe,32,40,33.8,Completed,Entrepreneurship,les
36,L2037,Female,24,Leribe,19,40,89.0,Not Completed,Seeking Employment,les
37,L2038,Male,19,Mafeteng,17,40,95.0,Not Completed,Seeking Employment,les
38,L2039,Female,35,Butha-Buthe,31,40,87.7,Completed,Self-Employed,les
39,L2040,Female,30,Leribe,22,40,57.6,Not Completed,Further Studies,les
40,L2041,Female,18,Mohale's Hoek,27,40,42.4,Not Completed,Self-Employed,les
41,L2042,Female,23,Thaba-Tseka,40,40,57.4,Not Completed,Self-Employed,les
42,L2043,Female,22,Butha-Buthe,22,40,31.9,Completed,Entrepreneurship,les
43,L2044,Female,22,Thaba-Tseka,26,40,96.1,Not Completed,Entrepreneurship,les
44,L2045,Male,23,Berea,28,40,36.9,Not Completed,Entrepreneurship,les
45,L2046,Female,31,Butha-Buthe,25,40,87.0,Not Completed,Entrepreneurship,les
46,L2047,Female,24,Quthing,36,40,93.5,Not Completed,Self-Employed,les
47,L2048,Female,28,Butha-Buthe,29,40,87.3,Not Completed,Further Studies,les
48,L2049,Male,22,Quthing,26,40,86.3,Completed,Further Studies,les
49,L2050,Male,26,Mokhotlong,24,40,63.7,Completed,Self-Employed,les
50,L2051,Female,22,Berea,25,40,40.9,Completed,Seeking Employment,les
51,L2052,Female,27,Mokhotlong,17,40,71.3,Completed,Entrepreneurship,les
52,L2053,Male,27,Qacha's Nek,15,40,40.6,Completed,Further Studies,les
53,L2054,Male,30,Mokhotlong,37,40,56.9,Not Completed,Self-Employed,les
54,L2055,Female,20,Mohale's Hoek,34,40,92.3,Not Completed,Self-Employed,les
55,L2056,Female,32,Berea,20,40,36.1,Completed,Self-Employed,les
56,L2057,Male,30,Thaba-Tseka,25,40,64.4,Not Completed,Seeking Employment,les
57,L2058,Female,19,Maseru,35,40,51.1,Not Completed,Seeking Employment,les
58,L2059,Female,35,Mafeteng,16,40,77.6,Completed,Entrepreneurship,les
59,L2060,Female,27,Leribe,16,40,82.8,Not Completed,Seeking Employment,les
60,L2061,Male,32,Berea,25,40,67.1,Completed,Entrepreneurship,les
61,L2062,Female,25,Mohale's Hoek,23,40,74.9,Not Completed,Seeking Employment,les
62,L2063,Female,32,Qacha's Nek,36,40,81.0,Not Completed,Further Studies,les
63,L2064,Female,22,Qacha's Nek,24,40,77.7,Completed,Self-Employed,les
